time,ax,ay,az
84000,-4.362324558485759,2.1627029936480997,-0.0
84010,-4.379329546068434,2.1308981318239377,-0.0
84020,-4.396098439330202,2.0989478327292517,-0.0
84030,-4.412629828399709,2.066853901904443,-0.0
84040,-4.428922317813776,2.034618160781593,-0.0
84050,-4.444974526725314,2.0022424465648916,-0.0
84060,-4.460785089110268,1.9697286121079887,-0.0
84070,-4.4763526539735645,1.9370785257882717,-0.0
84080,-4.491675885553977,1.9042940713780652,-0.0
84090,-4.506753463527895,1.8713771479127788,-0.0
84100,-4.521584083211917,1.8383296695559872,-0.0
84110,-4.536166455764217,1.8051535654614685,-0.0
84120,-4.5504993083846665,1.7718507796322065,-0.0
84130,-4.564581384513631,1.7384232707763656,-0.0
84140,-4.578411444029377,1.7048730121602402,-0.0
84150,-4.591988263444108,1.6712019914582212,-0.0
84160,-4.605310636098464,1.6374122105997437,-0.0
84170,-4.618377372354565,1.6035056856132848,-0.0
84180,-4.631187299787455,1.5694844464673878,-0.0
84190,-4.643739263374911,1.535350536908738,-0.0
84200,-4.656032125685614,1.5011060142973183,-0.0
84210,-4.668064767065573,1.4667529494386506,-0.0
84220,-4.679836085822795,1.432293426413146,-0.0
84230,-4.691344998410116,1.3977295424025817,-0.0
84240,-4.702590439606185,1.3630634075137302,-0.0
84250,-4.713571362694507,1.3282971445991543,-0.0
84260,-4.72428673964053,1.293432889075197,-0.0
84270,-4.734735561266715,1.2584727887371914,-0.0
84280,-4.744916837425536,1.2234190035719055,-0.0
84290,-4.754829597170368,1.1882737055672563,-0.0
84300,-4.764472888924204,1.1530390785193125,-0.0
84310,-4.773845780646194,1.1177173178366262,-0.0
84320,-4.782947359995883,1.0823106303418977,-0.0
84330,-4.791776734495175,1.0468212340710272,-0.0
84340,-4.80033303168795,1.011251358069572,-0.0
84350,-4.8086153992972696,0.9756032421866355,-0.0
84360,-4.8166230053801415,0.9398791368662286,-0.0
84370,-4.824355038479823,0.9040813029361326,-0.0
84380,-4.831810707775555,0.8682120113942939,-0.0
84390,-4.838989243229758,0.8322735431927906,-0.0
84400,-4.845889895732578,0.7962681890194013,-0.0
84410,-4.852511937243798,0.7601982490768148,-0.0
84420,-4.858854660932022,0.7240660328595153,-0.0
84430,-4.86491738131114,0.6878738589283864,-0.0
84440,-4.870699434373965,0.6516240546830622,-0.0
84450,-4.876200177723083,0.615318956132075,-0.0
84460,-4.881418990698811,0.578960907660836,-0.0
84470,-4.886355274504247,0.5425522617974865,-0.0
84480,-4.891008452327379,0.5060953789766675,-0.0
84490,-4.895377969460213,0.4695926273012459,-0.0
84500,-4.899463293414865,0.4330463823020431,-0.0
84510,-4.9032639140365974,0.3964590266956068,-0.0
84520,-4.906779343613757,0.359832950140075,-0.0
84530,-4.910009116984611,0.32317054898917613,-0.0
84540,-4.912952791640942,0.2864742260444077,-0.0
84550,-4.915609947828545,0.24974639030544887,-0.0
84560,-4.917980188644391,0.212989456718845,-0.0
84570,-4.920063140130604,0.1762058459250206,-0.0
